station,year,month,wdsp
BALLYHAISE,2003,11,8.1
BALLYHAISE,2004,1,7.8
BALLYHAISE,2004,2,6.9
BALLYHAISE,2004,3,8.4
BALLYHAISE,2004,4,7.8
BALLYHAISE,2004,5,5.8
BALLYHAISE,2004,6,7.2
BALLYHAISE,2004,8,5.7
BALLYHAISE,2004,9,8.0
BALLYHAISE,2004,10,6.2
BALLYHAISE,2004,11,6.7
BALLYHAISE,2004,12,8.4
BALLYHAISE,2005,1,10.4
BALLYHAISE,2005,10,7.3
BALLYHAISE,2005,11,6.9
BALLYHAISE,2006,1,7.0
BALLYHAISE,2006,2,6.9
BALLYHAISE,2006,3,7.6
BALLYHAISE,2006,4,7.3
BALLYHAISE,2006,5,7.3
BALLYHAISE,2006,6,5.7
BALLYHAISE,2006,7,5.5
BALLYHAISE,2006,9,6.7
BALLYHAISE,2006,10,6.4
BALLYHAISE,2006,11,8.3
BALLYHAISE,2006,12,8.7
BALLYHAISE,2007,1,9.9
BALLYHAISE,2007,2,7.1
BALLYHAISE,2007,3,8.0
BALLYHAISE,2007,4,5.6
BALLYHAISE,2007,5,6.9
BALLYHAISE,2007,6,5.7
BALLYHAISE,2007,7,5.4
BALLYHAISE,2007,8,5.7
BALLYHAISE,2007,9,5.7
BALLYHAISE,2007,10,5.7
BALLYHAISE,2007,11,6.9
BALLYHAISE,2007,12,8.2
BALLYHAISE,2008,1,8.7
BALLYHAISE,2008,2,8.0
BALLYHAISE,2008,3,8.9
BALLYHAISE,2008,4,7.2
BALLYHAISE,2008,5,5.7
BALLYHAISE,2008,6,6.2
BALLYHAISE,2008,7,6.2
BALLYHAISE,2008,8,6.0
BALLYHAISE,2008,9,5.6
BALLYHAISE,2008,10,7.2
BALLYHAISE,2008,11,6.9
BALLYHAISE,2008,12,5.9
BALLYHAISE,2009,1,7.3
BALLYHAISE,2009,2,6.2
BALLYHAISE,2009,3,7.9
BALLYHAISE,2009,4,6.7
BALLYHAISE,2009,5,7.4
BALLYHAISE,2009,6,5.3
BALLYHAISE,2009,7,6.1
BALLYHAISE,2009,8,7.2
BALLYHAISE,2009,9,5.9
BALLYHAISE,2009,10,6.1
BALLYHAISE,2009,11,8.1
BALLYHAISE,2009,12,6.0
BALLYHAISE,2010,1,5.6
BALLYHAISE,2010,2,4.3
BALLYHAISE,2010,3,6.1
BALLYHAISE,2010,4,5.5
BALLYHAISE,2010,5,5.4
BALLYHAISE,2010,6,5.2
BALLYHAISE,2010,7,6.6
BALLYHAISE,2010,8,5.5
