station,year,month,wdsp,wdsp_ms
DUNSANY,2006,6,6.6,3.3953303999999997
DUNSANY,2006,7,6.4,3.2924416
DUNSANY,2006,8,7.2,3.7039968
DUNSANY,2006,9,7.6,3.9097744
DUNSANY,2006,10,7.8,4.0126632
DUNSANY,2006,11,9.6,4.9386624
DUNSANY,2006,12,10.1,5.1958844
DUNSANY,2007,1,11.9,6.1218836
DUNSANY,2007,2,7.8,4.0126632
DUNSANY,2007,3,9.4,4.8357736000000004
DUNSANY,2007,4,6.8,3.4982192
DUNSANY,2007,5,8.5,4.372774
DUNSANY,2007,6,6.8,3.4982192
DUNSANY,2007,7,7.1,3.6525524
DUNSANY,2007,8,6.6,3.3953303999999997
DUNSANY,2007,9,6.8,3.4982192
DUNSANY,2007,10,5.8,2.9837752
DUNSANY,2007,11,7.8,4.0126632
DUNSANY,2007,12,9.6,4.9386624
DUNSANY,2008,1,11.1,5.7103284
DUNSANY,2008,2,9.2,4.7328848
DUNSANY,2008,3,10.9,5.6074396
DUNSANY,2008,4,8.8,4.5271072000000006
DUNSANY,2008,5,7.9,4.064107600000001
DUNSANY,2008,6,7.4,3.8068856
DUNSANY,2008,7,7.7,3.9612188
DUNSANY,2008,8,7.5,3.85833
DUNSANY,2008,9,6.5,3.343886
DUNSANY,2008,10,9.1,4.6814404
DUNSANY,2008,11,8.2,4.2184408
DUNSANY,2008,12,7.3,3.7554412
DUNSANY,2009,1,8.6,4.4242184
DUNSANY,2009,2,6.9,3.5496636
DUNSANY,2009,3,9.3,4.7843292
DUNSANY,2009,4,7.8,4.0126632
DUNSANY,2009,5,9.6,4.9386624
DUNSANY,2009,6,6.8,3.4982192
DUNSANY,2009,7,7.3,3.7554412
DUNSANY,2009,8,8.4,4.3213296
DUNSANY,2009,9,7.0,3.601108
DUNSANY,2009,10,6.8,3.4982192
DUNSANY,2009,11,10.4,5.350217600000001
DUNSANY,2009,12,7.6,3.9097744
DUNSANY,2010,1,6.6,3.3953303999999997
DUNSANY,2010,2,5.2,2.6751088000000003
DUNSANY,2010,3,6.9,3.5496636
DUNSANY,2010,4,6.5,3.343886
DUNSANY,2010,5,6.0,3.086664
DUNSANY,2010,6,5.8,2.9837752
DUNSANY,2010,7,8.1,4.1669963999999995
DUNSANY,2010,8,6.9,3.5496636
DUNSANY,2010,9,7.3,3.7554412
DUNSANY,2010,10,7.6,3.9097744
DUNSANY,2010,11,7.7,3.9612188
DUNSANY,2010,12,4.4,2.2635536000000003
DUNSANY,2011,1,6.4,3.2924416
DUNSANY,2011,2,8.8,4.5271072000000006
DUNSANY,2011,3,6.1,3.1381083999999997
DUNSANY,2011,4,7.4,3.8068856
DUNSANY,2011,5,11.5,5.916106
DUNSANY,2011,6,7.1,3.6525524
DUNSANY,2011,7,5.8,2.9837752
DUNSANY,2011,8,6.0,3.086664
DUNSANY,2011,9,10.1,5.1958844
DUNSANY,2011,10,9.9,5.0929956
DUNSANY,2011,11,9.2,4.7328848
DUNSANY,2011,12,11.7,6.0189948
DUNSANY,2012,1,10.5,5.401662
DUNSANY,2012,2,8.1,4.1669963999999995
DUNSANY,2012,3,7.1,3.6525524
DUNSANY,2012,4,8.1,4.1669963999999995
DUNSANY,2012,5,7.1,3.6525524
DUNSANY,2012,6,7.6,3.9097744
DUNSANY,2012,7,6.7,3.4467748
DUNSANY,2012,8,7.4,3.8068856
DUNSANY,2012,9,8.4,4.3213296
DUNSANY,2012,10,6.7,3.4467748
DUNSANY,2012,11,8.1,4.1669963999999995
DUNSANY,2012,12,8.8,4.5271072000000006
DUNSANY,2013,1,8.7,4.475662799999999
DUNSANY,2013,2,7.8,4.0126632
DUNSANY,2013,3,9.1,4.6814404
DUNSANY,2013,4,10.1,5.1958844
DUNSANY,2013,5,9.2,4.7328848
DUNSANY,2013,6,7.2,3.7039968
DUNSANY,2013,7,5.7,2.9323308000000003
DUNSANY,2013,8,7.2,3.7039968
DUNSANY,2013,9,7.4,3.8068856
DUNSANY,2013,10,8.1,4.1669963999999995
DUNSANY,2013,11,7.1,3.6525524
DUNSANY,2013,12,11.5,5.916106
DUNSANY,2014,1,9.8,5.041551200000001
DUNSANY,2014,2,12.3,6.3276612000000005
DUNSANY,2014,3,9.1,4.6814404
DUNSANY,2014,4,8.0,4.115552
DUNSANY,2014,5,7.5,3.85833
DUNSANY,2014,6,5.5,2.8294420000000002
DUNSANY,2014,7,6.5,3.343886
DUNSANY,2014,8,8.0,4.115552
DUNSANY,2014,9,5.1,2.6236644
DUNSANY,2014,10,8.6,4.4242184
DUNSANY,2014,11,6.5,3.343886
DUNSANY,2014,12,9.7,4.9901067999999995
DUNSANY,2015,1,11.3,5.8132172
DUNSANY,2015,2,7.9,4.064107600000001
DUNSANY,2015,3,9.4,4.8357736000000004
DUNSANY,2015,4,7.1,3.6525524
DUNSANY,2015,5,9.7,4.9901067999999995
DUNSANY,2015,6,8.0,4.115552
DUNSANY,2015,7,7.7,3.9612188
DUNSANY,2015,8,6.8,3.4982192
DUNSANY,2015,9,6.2,3.1895528
DUNSANY,2015,10,5.9,3.0352196000000005
DUNSANY,2015,11,10.2,5.2473288
DUNSANY,2015,12,12.0,6.173328
DUNSANY,2016,1,9.7,4.9901067999999995
DUNSANY,2016,2,9.5,4.887218
DUNSANY,2016,3,7.7,3.9612188
DUNSANY,2016,4,7.9,4.064107600000001
DUNSANY,2016,5,7.5,3.85833
DUNSANY,2016,6,6.0,3.086664
DUNSANY,2016,7,7.5,3.85833
DUNSANY,2016,8,7.9,4.064107600000001
DUNSANY,2016,9,7.8,4.0126632
DUNSANY,2016,10,6.2,3.1895528
DUNSANY,2016,11,6.6,3.3953303999999997
DUNSANY,2016,12,7.6,3.9097744
DUNSANY,2017,1,7.4,3.8068856
DUNSANY,2017,2,9.7,4.9901067999999995
DUNSANY,2017,3,9.0,4.629996
DUNSANY,2017,4,7.0,3.601108
DUNSANY,2017,5,7.3,3.7554412
DUNSANY,2017,6,8.3,4.2698852
DUNSANY,2017,7,7.1,3.6525524
DUNSANY,2017,8,7.1,3.6525524
DUNSANY,2017,9,7.3,3.7554412
DUNSANY,2017,10,9.3,4.7843292
DUNSANY,2017,11,7.3,3.7554412
DUNSANY,2017,12,8.4,4.3213296
DUNSANY,2018,1,10.6,5.4531064
DUNSANY,2018,2,8.3,4.2698852
DUNSANY,2018,3,9.0,4.629996
DUNSANY,2018,4,8.5,4.372774
DUNSANY,2018,5,7.0,3.601108
DUNSANY,2018,6,6.5,3.343886
DUNSANY,2018,7,5.7,2.9323308000000003
DUNSANY,2018,8,7.2,3.7039968
DUNSANY,2018,9,7.9,4.064107600000001
DUNSANY,2018,10,7.3,3.7554412
DUNSANY,2018,11,8.8,4.5271072000000006
DUNSANY,2018,12,8.8,4.5271072000000006
DUNSANY,2019,1,7.1,3.6525524
DUNSANY,2019,2,9.7,4.9901067999999995
DUNSANY,2019,3,10.0,5.14444
DUNSANY,2019,4,7.8,4.0126632
