station,year,month,wdsp,wdsp_ms
SHANNON AIRPORT,1945,9,10.5,5.401662
SHANNON AIRPORT,1945,10,10.6,5.4531064
SHANNON AIRPORT,1945,11,8.4,4.3213296
SHANNON AIRPORT,1945,12,10.5,5.401662
SHANNON AIRPORT,1946,1,12.8,6.5848832
SHANNON AIRPORT,1946,2,11.9,6.1218836
SHANNON AIRPORT,1946,3,10.3,5.2987732
SHANNON AIRPORT,1946,4,9.4,4.8357736000000004
SHANNON AIRPORT,1946,5,10.7,5.5045508
SHANNON AIRPORT,1946,6,11.7,6.0189948
SHANNON AIRPORT,1946,7,10.5,5.401662
SHANNON AIRPORT,1946,8,10.8,5.555995200000001
SHANNON AIRPORT,1946,9,13.5,6.944994
SHANNON AIRPORT,1946,10,10.4,5.350217600000001
SHANNON AIRPORT,1946,11,11.2,5.7617728
SHANNON AIRPORT,1946,12,10.8,5.555995200000001
SHANNON AIRPORT,1947,1,13.1,6.7392164
SHANNON AIRPORT,1947,2,13.1,6.7392164
SHANNON AIRPORT,1947,3,12.4,6.3791056
SHANNON AIRPORT,1947,4,16.9,8.6941036
SHANNON AIRPORT,1947,5,11.9,6.1218836
SHANNON AIRPORT,1947,6,12.4,6.3791056
SHANNON AIRPORT,1947,7,10.9,5.6074396
SHANNON AIRPORT,1947,8,7.1,3.6525524
SHANNON AIRPORT,1947,9,10.3,5.2987732
SHANNON AIRPORT,1947,10,9.4,4.8357736000000004
SHANNON AIRPORT,1947,11,10.8,5.555995200000001
SHANNON AIRPORT,1947,12,10.3,5.2987732
SHANNON AIRPORT,1948,1,12.6,6.4819944
SHANNON AIRPORT,1948,2,14.0,7.202216
SHANNON AIRPORT,1948,3,11.7,6.0189948
SHANNON AIRPORT,1948,4,9.7,4.9901067999999995
SHANNON AIRPORT,1948,5,8.7,4.475662799999999
SHANNON AIRPORT,1948,6,11.8,6.070439200000001
SHANNON AIRPORT,1948,7,10.4,5.350217600000001
SHANNON AIRPORT,1948,8,9.8,5.041551200000001
SHANNON AIRPORT,1948,9,11.4,5.864661600000001
SHANNON AIRPORT,1948,10,10.4,5.350217600000001
SHANNON AIRPORT,1948,11,12.7,6.5334388
SHANNON AIRPORT,1948,12,12.7,6.5334388
SHANNON AIRPORT,1949,1,12.7,6.5334388
SHANNON AIRPORT,1949,2,13.4,6.8935496
SHANNON AIRPORT,1949,3,8.8,4.5271072000000006
SHANNON AIRPORT,1949,4,13.7,7.0478828
SHANNON AIRPORT,1949,5,11.2,5.7617728
SHANNON AIRPORT,1949,6,9.0,4.629996
SHANNON AIRPORT,1949,7,9.0,4.629996
SHANNON AIRPORT,1949,8,9.4,4.8357736000000004
SHANNON AIRPORT,1949,9,9.2,4.7328848
SHANNON AIRPORT,1949,10,11.4,5.864661600000001
SHANNON AIRPORT,1949,11,12.4,6.3791056
SHANNON AIRPORT,1949,12,14.8,7.6137712
SHANNON AIRPORT,1950,1,13.2,6.7906607999999995
SHANNON AIRPORT,1950,2,14.2,7.3051048
