year,month,avg_wddir,count,station
2003,10,10.082816978603262,575,BALLYHAISE
2003,11,204.65861066747584,720,BALLYHAISE
2003,12,252.65786391196832,595,BALLYHAISE
2004,1,242.2043132356551,744,BALLYHAISE
2004,2,259.32693589688876,696,BALLYHAISE
2004,3,209.22897540544156,744,BALLYHAISE
2004,4,262.00810309243946,720,BALLYHAISE
2004,5,290.3149299132107,744,BALLYHAISE
2004,6,260.1720799103559,720,BALLYHAISE
2004,7,236.89725129954223,582,BALLYHAISE
2004,8,193.09157092499166,744,BALLYHAISE
2004,9,232.4540598383029,720,BALLYHAISE
2004,10,242.9893708312785,744,BALLYHAISE
2004,11,239.69626005999703,720,BALLYHAISE
2004,12,222.26540474105374,744,BALLYHAISE
2005,1,248.30790419623247,744,BALLYHAISE
2005,2,289.8612240717793,672,BALLYHAISE
2005,3,223.26383321919366,744,BALLYHAISE
2005,4,191.16950658245443,720,BALLYHAISE
2005,5,202.7730960539816,662,BALLYHAISE
2005,6,236.08262032407754,720,BALLYHAISE
2005,7,294.0435661325175,744,BALLYHAISE
2005,8,248.18436647098042,744,BALLYHAISE
2005,9,206.3690799443348,716,BALLYHAISE
2005,10,176.52887381191817,744,BALLYHAISE
2005,11,224.55677823407157,720,BALLYHAISE
2005,12,230.04197950370212,728,BALLYHAISE
2006,1,177.35134862848486,744,BALLYHAISE
2006,2,178.3036526308781,672,BALLYHAISE
2006,3,181.62430187223896,744,BALLYHAISE
2006,4,259.7210521786957,720,BALLYHAISE
2006,5,206.56341912547072,744,BALLYHAISE
2006,6,216.93111624702127,720,BALLYHAISE
2006,7,191.22240555105597,744,BALLYHAISE
2006,8,273.2514219305075,648,BALLYHAISE
2006,9,168.5699557569784,720,BALLYHAISE
2006,10,181.53796641880965,744,BALLYHAISE
2006,11,212.86041839038538,710,BALLYHAISE
2006,12,201.19858528475686,744,BALLYHAISE
2007,1,243.725704398442,744,BALLYHAISE
2007,2,185.29243050480804,672,BALLYHAISE
2007,3,233.27890848608462,744,BALLYHAISE
2007,4,177.98719628171023,720,BALLYHAISE
2007,5,242.60169843822536,744,BALLYHAISE
2007,6,74.97520329340983,720,BALLYHAISE
2007,7,244.45976296929865,744,BALLYHAISE
2007,8,275.28671087993905,744,BALLYHAISE
2007,9,259.9082861551692,720,BALLYHAISE
2007,10,175.75464988027989,744,BALLYHAISE
2007,11,256.1944645358733,720,BALLYHAISE
2007,12,185.1446762921682,744,BALLYHAISE
2008,1,207.0278541636268,744,BALLYHAISE
2008,2,186.15918042163034,696,BALLYHAISE
2008,3,253.72855879081717,744,BALLYHAISE
2008,4,268.9844024596715,720,BALLYHAISE
2008,5,91.75134334241494,744,BALLYHAISE
2008,6,239.48536056752602,720,BALLYHAISE
2008,7,220.92213786683521,744,BALLYHAISE
2008,8,224.39277395398923,744,BALLYHAISE
2008,9,235.24730707465017,657,BALLYHAISE
2008,10,239.51401906195258,744,BALLYHAISE
2008,11,261.7968159897078,720,BALLYHAISE
2008,12,218.3336430181694,744,BALLYHAISE
2009,1,182.5082388581313,744,BALLYHAISE
2009,2,258.7592596935486,672,BALLYHAISE
2009,3,239.55550396557896,744,BALLYHAISE
2009,4,159.59434484570045,720,BALLYHAISE
2009,5,201.73090124847644,744,BALLYHAISE
2009,6,95.63137017347947,720,BALLYHAISE
2009,7,214.32359205096523,744,BALLYHAISE
2009,8,214.5620763025689,744,BALLYHAISE
2009,9,233.3139025137839,720,BALLYHAISE
2009,10,189.6585151407522,744,BALLYHAISE
2009,11,222.63452683676238,720,BALLYHAISE
2009,12,221.1697244113809,744,BALLYHAISE
2010,1,231.5253108245653,744,BALLYHAISE
2010,2,333.4623964290567,672,BALLYHAISE
2010,3,228.94948760507984,744,BALLYHAISE
2010,4,206.46385002898933,720,BALLYHAISE
2010,5,319.13885914002185,744,BALLYHAISE
2010,6,299.522633865077,720,BALLYHAISE
2010,7,234.5225387937046,744,BALLYHAISE
2010,8,264.0370432573904,743,BALLYHAISE
2010,9,196.6814750866318,720,BALLYHAISE
2010,10,205.02063186426562,736,BALLYHAISE
2010,11,252.6268797699954,720,BALLYHAISE
2010,12,241.78221342129896,716,BALLYHAISE
2011,1,235.3712052021077,719,BALLYHAISE
2011,2,193.502725425648,660,BALLYHAISE
2011,3,168.91758468259343,734,BALLYHAISE
2011,4,172.68707163244835,712,BALLYHAISE
2011,5,214.08033259313095,744,BALLYHAISE
2011,6,244.06808191466033,720,BALLYHAISE
2011,7,271.6421464787804,737,BALLYHAISE
2011,8,238.7072001770424,744,BALLYHAISE
2011,9,203.02629980461734,720,BALLYHAISE
2011,10,212.83406217169417,744,BALLYHAISE
2011,11,162.21020442385964,720,BALLYHAISE
2011,12,235.61912706141652,744,BALLYHAISE
2012,1,220.54850623707608,741,BALLYHAISE
2012,2,219.03989456051994,696,BALLYHAISE
2012,3,200.96264010944094,744,BALLYHAISE
2012,4,324.19757005472604,720,BALLYHAISE
2012,5,100.80377548929096,744,BALLYHAISE
2012,6,119.96963153930062,720,BALLYHAISE
2012,7,272.35868955571334,744,BALLYHAISE
2012,8,164.35135745992432,744,BALLYHAISE
2012,9,245.80893930093723,720,BALLYHAISE
2012,10,241.12651382933927,744,BALLYHAISE
2012,11,223.91438563998793,720,BALLYHAISE
2012,12,208.45063680681446,744,BALLYHAISE
2013,1,172.73767067834808,744,BALLYHAISE
2013,2,159.2799181523186,672,BALLYHAISE
2013,3,80.52029212086916,744,BALLYHAISE
2013,4,203.9147740451136,720,BALLYHAISE
2013,5,262.87508428745514,744,BALLYHAISE
2013,6,220.36996702945336,720,BALLYHAISE
2013,7,166.41922499941347,744,BALLYHAISE
2013,8,234.74003510038085,744,BALLYHAISE
2013,9,231.84479631769975,720,BALLYHAISE
2013,10,185.8936634081858,744,BALLYHAISE
2013,11,256.41473635345386,720,BALLYHAISE
2013,12,209.08182594232602,744,BALLYHAISE
2014,1,204.67972243982572,744,BALLYHAISE
2014,2,208.72698045862023,672,BALLYHAISE
2014,3,219.47465091053235,744,BALLYHAISE
2014,4,149.77818366764143,720,BALLYHAISE
