year,month,avg_wddir,count,station
2006,5,247.52783278140492,527,DUNSANY
2006,6,225.01992460776643,720,DUNSANY
2006,7,201.87552653791934,744,DUNSANY
2006,8,279.95950242577,744,DUNSANY
2006,9,186.5218080743464,720,DUNSANY
2006,10,192.73576474078922,744,DUNSANY
2006,11,219.11749595852316,710,DUNSANY
2006,12,213.62768675141362,744,DUNSANY
2007,1,247.6700947714895,744,DUNSANY
2007,2,201.2587275549665,672,DUNSANY
2007,3,247.59169227012882,743,DUNSANY
2007,4,159.53564173819768,720,DUNSANY
2007,5,247.42190146757818,744,DUNSANY
2007,6,73.87307664921872,720,DUNSANY
2007,7,243.93465471878068,744,DUNSANY
2007,8,276.47803820394665,744,DUNSANY
2007,9,270.49079497410435,720,DUNSANY
2007,10,194.08512453622626,744,DUNSANY
2007,11,254.9762368092077,720,DUNSANY
2007,12,199.98684199807033,744,DUNSANY
2008,1,218.08387924860796,744,DUNSANY
2008,2,204.08017639429303,696,DUNSANY
2008,3,258.327207383219,744,DUNSANY
2008,4,268.97996347312034,720,DUNSANY
2008,5,90.6966991666759,744,DUNSANY
2008,6,248.14654562085764,720,DUNSANY
2008,7,231.18939568854233,744,DUNSANY
2008,8,225.66714709623113,744,DUNSANY
2008,9,232.0632949741801,720,DUNSANY
2008,10,235.34065714167906,744,DUNSANY
2008,11,264.8954008621463,720,DUNSANY
2008,12,220.6711728609212,744,DUNSANY
2009,1,187.60017096279185,744,DUNSANY
2009,2,250.3552635559102,672,DUNSANY
2009,3,237.59776020324207,744,DUNSANY
2009,4,163.1630036352832,720,DUNSANY
2009,5,202.80433982881723,744,DUNSANY
2009,6,85.34629371576398,720,DUNSANY
2009,7,210.7060511957679,744,DUNSANY
2009,8,213.21795394386993,744,DUNSANY
2009,9,244.41286593649534,720,DUNSANY
2009,10,192.02273445125508,744,DUNSANY
2009,11,220.11610524799065,720,DUNSANY
2009,12,221.36673822847342,744,DUNSANY
2010,1,233.32502898314797,744,DUNSANY
2010,2,325.6355504028431,672,DUNSANY
2010,3,227.7291202070602,744,DUNSANY
