year,month,avg_wddir,count,station
1996,4,0.0,1,KNOCK AIRPORT
1996,7,0.0,16,KNOCK AIRPORT
1996,8,253.77071234713645,743,KNOCK AIRPORT
1996,9,111.90648127473287,719,KNOCK AIRPORT
1996,10,208.2918543043976,702,KNOCK AIRPORT
1996,11,251.7826520341091,718,KNOCK AIRPORT
1996,12,103.657814162406,744,KNOCK AIRPORT
1997,1,115.09115372545273,744,KNOCK AIRPORT
1997,2,214.8763327205727,672,KNOCK AIRPORT
1997,3,216.3564695958892,744,KNOCK AIRPORT
1997,4,239.89348853883314,720,KNOCK AIRPORT
1997,5,120.69695182406451,744,KNOCK AIRPORT
1997,6,8.013548528840147,720,KNOCK AIRPORT
1997,7,234.05983300718856,744,KNOCK AIRPORT
1997,8,165.99245214959888,744,KNOCK AIRPORT
1997,9,194.3213247403176,720,KNOCK AIRPORT
1997,10,173.81809907160334,744,KNOCK AIRPORT
1997,11,182.16911326364885,720,KNOCK AIRPORT
1997,12,186.9099784640257,744,KNOCK AIRPORT
1998,1,170.3200309816009,744,KNOCK AIRPORT
1998,2,225.5978964490154,672,KNOCK AIRPORT
1998,3,243.05837110992167,744,KNOCK AIRPORT
1998,4,332.6912945277582,720,KNOCK AIRPORT
1998,5,345.09232552209227,744,KNOCK AIRPORT
1998,6,231.83597221916293,720,KNOCK AIRPORT
1998,7,272.8105587455706,744,KNOCK AIRPORT
1998,8,243.53121021259943,744,KNOCK AIRPORT
1998,9,185.43339954398522,720,KNOCK AIRPORT
1998,10,249.5847987514211,744,KNOCK AIRPORT
1998,11,223.434504873249,720,KNOCK AIRPORT
1998,12,201.60539784966457,744,KNOCK AIRPORT
1999,1,223.67156560203622,744,KNOCK AIRPORT
1999,2,257.6999099380238,672,KNOCK AIRPORT
1999,3,245.57512510059854,744,KNOCK AIRPORT
1999,4,242.29924263157005,720,KNOCK AIRPORT
1999,5,163.81310965366686,744,KNOCK AIRPORT
1999,6,267.26806257583905,720,KNOCK AIRPORT
1999,7,210.96634112858354,744,KNOCK AIRPORT
1999,8,140.12208936426492,744,KNOCK AIRPORT
1999,9,198.56971836612658,720,KNOCK AIRPORT
1999,10,185.1159419995455,744,KNOCK AIRPORT
1999,11,275.3740651854283,719,KNOCK AIRPORT
1999,12,251.93893736227437,744,KNOCK AIRPORT
2000,1,262.49341783173304,744,KNOCK AIRPORT
2000,2,235.83027395072057,696,KNOCK AIRPORT
2000,3,260.8021813068425,744,KNOCK AIRPORT
2000,4,84.76938813432673,720,KNOCK AIRPORT
2000,5,298.41679942397514,744,KNOCK AIRPORT
2000,6,199.05562980055947,720,KNOCK AIRPORT
2000,7,350.2091187843218,744,KNOCK AIRPORT
2000,8,239.64985946242786,744,KNOCK AIRPORT
2000,9,216.26215493000421,720,KNOCK AIRPORT
2000,10,230.2767206878521,744,KNOCK AIRPORT
2000,11,261.8900046756676,720,KNOCK AIRPORT
2000,12,167.2436219680103,744,KNOCK AIRPORT
2001,1,171.72575549285523,744,KNOCK AIRPORT
2001,2,249.50302674345653,672,KNOCK AIRPORT
2001,3,141.59009333295342,744,KNOCK AIRPORT
2001,4,279.7776475768329,720,KNOCK AIRPORT
2001,5,238.79377892073273,744,KNOCK AIRPORT
2001,6,275.68041224390004,720,KNOCK AIRPORT
2001,7,257.65251208366675,744,KNOCK AIRPORT
2001,8,230.37639124750768,744,KNOCK AIRPORT
2001,9,294.1819794304628,720,KNOCK AIRPORT
2001,10,193.65444296955496,744,KNOCK AIRPORT
2001,11,248.63919138712617,720,KNOCK AIRPORT
2001,12,184.06358846495652,744,KNOCK AIRPORT
2002,1,185.2558692962347,744,KNOCK AIRPORT
2002,2,231.49437748134025,672,KNOCK AIRPORT
2002,3,189.9999533024937,744,KNOCK AIRPORT
2002,4,190.45145895016864,720,KNOCK AIRPORT
2002,5,206.06041430094916,744,KNOCK AIRPORT
2002,6,237.98881519292286,720,KNOCK AIRPORT
2002,7,277.36006004440077,744,KNOCK AIRPORT
2002,8,273.79337144101925,744,KNOCK AIRPORT
2002,9,117.53948469796427,720,KNOCK AIRPORT
2002,10,169.95851882438274,744,KNOCK AIRPORT
2002,11,175.43147395158644,720,KNOCK AIRPORT
2002,12,116.73393516339115,744,KNOCK AIRPORT
2003,1,224.06411114736713,744,KNOCK AIRPORT
2003,2,169.84654082843394,672,KNOCK AIRPORT
2003,3,170.94474331824495,744,KNOCK AIRPORT
2003,4,132.93175952354125,720,KNOCK AIRPORT
