year,month,avg_wddir,count,station
2003,8,312.3262202245306,447,OAK PARK
2003,9,226.85979567935345,274,OAK PARK
2003,10,354.6144614861534,574,OAK PARK
2003,11,176.58735332396532,603,OAK PARK
2003,12,242.83320007549924,569,OAK PARK
2004,1,225.3416562885346,744,OAK PARK
2004,2,285.7163704187927,696,OAK PARK
2004,3,196.79689269840483,744,OAK PARK
2004,4,242.4632740990304,720,OAK PARK
2004,5,305.84334661461673,744,OAK PARK
2004,6,251.04576679968,720,OAK PARK
2004,7,227.99361796218122,579,OAK PARK
2004,8,202.39388752480863,744,OAK PARK
2004,9,232.1434111966998,496,OAK PARK
2004,10,284.8233958822449,744,OAK PARK
2004,11,261.08910671252846,720,OAK PARK
2004,12,207.85065299933865,744,OAK PARK
2005,1,246.04442478192425,744,OAK PARK
2005,2,313.62863849568555,672,OAK PARK
2005,3,224.96667959709174,744,OAK PARK
2005,4,207.64754889823476,720,OAK PARK
2005,5,206.51983997402036,662,OAK PARK
2005,6,211.54473366933482,720,OAK PARK
2005,7,303.3978634211314,726,OAK PARK
2005,8,248.59147357388667,744,OAK PARK
2005,9,190.66777596120775,720,OAK PARK
2005,10,166.67637394321628,744,OAK PARK
2005,11,232.8043129126193,720,OAK PARK
2005,12,232.96666516517922,744,OAK PARK
2006,1,168.10367945165206,744,OAK PARK
2006,2,265.6188439012392,672,OAK PARK
2006,3,186.11975569847075,744,OAK PARK
2006,4,269.08458496873413,720,OAK PARK
2006,5,215.47317299775975,646,OAK PARK
2006,6,192.3826802102396,552,OAK PARK
2006,7,187.58096041791083,744,OAK PARK
2006,8,288.4189895807702,739,OAK PARK
2006,9,169.88389670056392,720,OAK PARK
2006,10,175.4505225790765,744,OAK PARK
2006,11,190.51331541925504,710,OAK PARK
2006,12,190.71569830252264,744,OAK PARK
2007,1,243.06760874112533,744,OAK PARK
2007,2,183.40951837900565,672,OAK PARK
2007,3,251.80530781796244,744,OAK PARK
2007,4,174.6767760742265,719,OAK PARK
2007,5,250.90998603535667,744,OAK PARK
2007,6,128.30351436814544,720,OAK PARK
2007,7,243.9560003323656,744,OAK PARK
2007,8,295.7380180129465,744,OAK PARK
2007,9,291.833700590734,720,OAK PARK
2007,10,175.85146170472456,744,OAK PARK
2007,11,265.53597787899844,720,OAK PARK
2007,12,189.53461323054034,744,OAK PARK
2008,1,202.9440880711583,744,OAK PARK
2008,2,196.15064184852147,696,OAK PARK
2008,3,268.47596638565943,744,OAK PARK
2008,4,270.5970241552807,720,OAK PARK
2008,5,103.0605916809152,744,OAK PARK
2008,6,256.63795568207087,720,OAK PARK
2008,7,232.78469881590198,744,OAK PARK
2008,8,216.16035662054708,744,OAK PARK
2008,9,236.27776947699658,720,OAK PARK
2008,10,228.9759146745953,744,OAK PARK
2008,11,276.50463721527257,720,OAK PARK
2008,12,209.69015506343945,744,OAK PARK
2009,1,166.71915141292243,744,OAK PARK
2009,2,264.0092675869819,672,OAK PARK
2009,3,231.04666209081907,744,OAK PARK
2009,4,170.31987469829232,720,OAK PARK
2009,5,200.75159497795158,744,OAK PARK
2009,6,136.11302274519198,717,OAK PARK
2009,7,200.37900870168625,744,OAK PARK
2009,8,202.26242643764974,744,OAK PARK
2009,9,271.20443127491694,720,OAK PARK
2009,10,173.29751217023932,744,OAK PARK
2009,11,215.4312964682811,720,OAK PARK
2009,12,185.633808673907,744,OAK PARK
2010,1,321.35147881242085,744,OAK PARK
2010,2,337.2844646973274,672,OAK PARK
2010,3,274.19287740565414,744,OAK PARK
2010,4,207.5425380094471,720,OAK PARK
2010,5,337.5249486491328,744,OAK PARK
2010,6,316.492218373528,720,OAK PARK
2010,7,220.76726968942936,744,OAK PARK
