year,month,avg_wddir,count,station
1945,9,214.31694275565627,719,SHANNON AIRPORT
1945,10,147.96738238264447,744,SHANNON AIRPORT
1945,11,106.0272122632739,720,SHANNON AIRPORT
1945,12,188.1549741770511,744,SHANNON AIRPORT
1946,1,174.74607639938347,744,SHANNON AIRPORT
1946,2,261.06205146418904,672,SHANNON AIRPORT
1946,3,131.0301914523239,744,SHANNON AIRPORT
1946,4,301.55547817607464,720,SHANNON AIRPORT
1946,5,43.53634529897312,744,SHANNON AIRPORT
1946,6,245.46824242342262,720,SHANNON AIRPORT
1946,7,258.41210580812054,744,SHANNON AIRPORT
1946,8,259.0356119889165,744,SHANNON AIRPORT
1946,9,225.35479616655118,720,SHANNON AIRPORT
1946,10,83.23519130832267,744,SHANNON AIRPORT
1946,11,216.5932801813142,720,SHANNON AIRPORT
1946,12,205.71978546369908,744,SHANNON AIRPORT
1947,1,139.1370947447732,744,SHANNON AIRPORT
1947,2,60.084548771216646,672,SHANNON AIRPORT
1947,3,117.39711458075072,744,SHANNON AIRPORT
1947,4,227.64047165895238,720,SHANNON AIRPORT
1947,5,145.52863015154105,744,SHANNON AIRPORT
1947,6,211.69852345462178,720,SHANNON AIRPORT
1947,7,221.65383936756922,744,SHANNON AIRPORT
1947,8,88.60108037365279,744,SHANNON AIRPORT
1947,9,261.63733333513244,720,SHANNON AIRPORT
1947,10,122.6034722642105,744,SHANNON AIRPORT
1947,11,246.75243914735233,720,SHANNON AIRPORT
1947,12,286.5483474225954,744,SHANNON AIRPORT
1948,1,227.29300285833577,744,SHANNON AIRPORT
1948,2,146.55454173002784,696,SHANNON AIRPORT
1948,3,166.13994762182892,744,SHANNON AIRPORT
1948,4,270.694637261569,720,SHANNON AIRPORT
1948,5,313.92685613710546,744,SHANNON AIRPORT
1948,6,256.217845036707,720,SHANNON AIRPORT
1948,7,283.26672673134476,744,SHANNON AIRPORT
1948,8,266.55627586761875,744,SHANNON AIRPORT
1948,9,240.77919749417276,720,SHANNON AIRPORT
1948,10,217.77874603988195,744,SHANNON AIRPORT
1948,11,160.27931985103896,720,SHANNON AIRPORT
1948,12,149.42699758315177,744,SHANNON AIRPORT
1949,1,237.02425910607673,744,SHANNON AIRPORT
1949,2,207.25390963130604,672,SHANNON AIRPORT
1949,3,301.0741903858717,744,SHANNON AIRPORT
1949,4,236.29310719399132,720,SHANNON AIRPORT
1949,5,275.63877110147644,744,SHANNON AIRPORT
1949,6,222.11935403570973,720,SHANNON AIRPORT
1949,7,298.18727506062334,744,SHANNON AIRPORT
1949,8,262.5365516400958,744,SHANNON AIRPORT
1949,9,112.0755970740206,720,SHANNON AIRPORT
1949,10,168.91974220653356,744,SHANNON AIRPORT
1949,11,234.17846802552754,720,SHANNON AIRPORT
1949,12,232.97273101478015,744,SHANNON AIRPORT
1950,1,173.68272691502307,744,SHANNON AIRPORT
1950,2,185.2157666870996,672,SHANNON AIRPORT
1950,3,181.5067570064491,744,SHANNON AIRPORT
1950,4,273.1729746418003,720,SHANNON AIRPORT
1950,5,10.703590796947708,744,SHANNON AIRPORT
1950,6,251.35530046464766,720,SHANNON AIRPORT
1950,7,216.31527074011137,744,SHANNON AIRPORT
1950,8,219.30247521601592,744,SHANNON AIRPORT
1950,9,239.49913586751057,720,SHANNON AIRPORT
1950,10,215.94047336349846,744,SHANNON AIRPORT
1950,11,278.7912608787624,720,SHANNON AIRPORT
1950,12,307.263856811079,744,SHANNON AIRPORT
1951,1,229.17730442407088,744,SHANNON AIRPORT
1951,2,275.7780791860506,672,SHANNON AIRPORT
1951,3,275.172977887534,744,SHANNON AIRPORT
1951,4,286.7069881287233,720,SHANNON AIRPORT
1951,5,47.16327059134818,744,SHANNON AIRPORT
1951,6,246.9656326279773,720,SHANNON AIRPORT
1951,7,262.96625342360653,744,SHANNON AIRPORT
